timelst,entropy_for_whole_project,NumEliteUser,NumPeripheralUser,RatioEliteUser,ProjectAge,NumOpenIssue,NumOpenPull,IssueAvgEvent,UserAvgEvent,entropy_for_peripheral_developer,entropy_for_whole_project_standard,NumEliteUser_standard,NumPeripheralUser_standard,RatioEliteUser_standard,projectAge_standard,NumOpenIssue_standard,NumOpenPull_standard,IssueAvgEvent_standard,UserAvgEvent_standard,entropy_for_peripheral_developer_standard
2013-09-08,14.0,0,0,0.0,3177,0,0,1.0,7.0,1.0,-0.7572495560616769,-1.5313798172525128,-1.6201503494674838,-0.9063445522131706,-1.731195497291103,-1.0701952245029154,-1.285283182496449,-0.9977043290812424,1.667235315803958,-0.8188267102117079
2013-09-09,0.0,1,0,0.5,3178,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.730055052299475,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-10,0.0,1,0,0.5,3179,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7289146073078472,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-11,0.0,1,0,0.5,3180,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7277741623162193,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-12,0.0,1,0,0.5,3181,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7266337173245916,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-13,0.0,1,0,0.5,3182,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7254932723329637,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-14,0.0,1,0,0.5,3183,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7243528273413358,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-15,0.0,1,0,0.5,3184,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.723212382349708,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-16,0.0,1,0,0.5,3185,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.72207193735808,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-17,0.0,1,0,0.5,3186,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.720931492366452,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-18,0.0,1,0,0.5,3187,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7197910473748244,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-19,0.0,1,0,0.5,3188,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7186506023831964,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-20,0.0,1,0,0.5,3189,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7175101573915683,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-21,0.0,1,0,0.5,3190,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7163697123999406,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-22,0.0,1,0,0.5,3191,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7152292674083127,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-23,2.0,1,0,0.5,3192,7,0,1.0,1.0,0.0,-0.9044925548726296,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.714088822416685,-1.0414521300025716,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8496074890520584
2013-09-24,2.0,1,0,0.5,3193,8,0,1.0,1.0,0.0,-0.9044925548726296,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7129483774250571,-1.0373459736453796,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8496074890520584
2013-09-25,0.0,1,0,0.5,3194,9,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7118079324334292,-1.0332398172881878,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-26,4.754887502163468,1,0,0.5,3195,9,0,2.0,2.0,3.169925001442312,-0.8706893967721826,-1.4430455246599985,-1.6201503494674838,6.703652876718778,-1.7106674874418013,-1.0332398172881878,-1.285283182496449,-0.4317615354546166,-0.3414830659226134,-0.7520347286421649
2013-09-27,0.0,1,1,0.3333333333333333,3196,8,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.7095270424501734,-1.0373459736453796,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-28,0.0,1,1,0.3333333333333333,3197,8,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.7083865974585457,-1.0373459736453796,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-29,0.0,1,1,0.3333333333333333,3198,8,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.7072461524669178,-1.0373459736453796,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-09-30,0.0,1,1,0.3333333333333333,3199,8,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.70610570747529,-1.0373459736453796,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-01,0.0,1,1,0.3333333333333333,3200,8,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.704965262483662,-1.0373459736453796,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-02,26.264662506490403,1,1,0.3333333333333333,3201,8,0,1.3333333333333333,6.0,10.339850002884624,-0.606759082156685,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.703824817492034,-1.0373459736453796,-1.285283182496449,-0.8090567312057005,1.2654916394586435,-0.5313388528708697
2013-10-03,0.0,1,1,0.3333333333333333,3202,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.7026843725004062,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-04,0.0,1,1,0.3333333333333333,3203,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.7015439275087785,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-05,0.0,1,1,0.3333333333333333,3204,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.7004034825171506,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-06,0.0,1,1,0.3333333333333333,3205,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6992630375255229,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-07,2.0,1,1,0.3333333333333333,3206,6,0,1.0,1.0,0.0,-0.9044925548726296,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6981225925338947,-1.0455582863597637,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8496074890520584
2013-10-08,8.0,1,1,0.3333333333333333,3207,7,0,1.0,2.0,2.0,-0.8308710554671532,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6969821475422668,-1.0414521300025716,-1.285283182496449,-0.9977043290812424,-0.3414830659226134,-0.7880459313713575
2013-10-09,2.0,1,1,0.3333333333333333,3208,7,0,1.0,1.0,1.0,-0.9044925548726296,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6958417025506392,-1.0414521300025716,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8188267102117079
2013-10-10,0.0,1,1,0.3333333333333333,3209,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6947012575590112,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-11,2.0,1,1,0.3333333333333333,3210,6,0,1.0,1.0,0.0,-0.9044925548726296,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6935608125673831,-1.0455582863597637,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8496074890520584
2013-10-12,8.0,1,1,0.3333333333333333,3211,7,0,1.0,2.0,1.0,-0.8308710554671532,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6924203675757554,-1.0414521300025716,-1.285283182496449,-0.9977043290812424,-0.3414830659226134,-0.8188267102117079
2013-10-13,18.264662506490403,1,1,0.3333333333333333,3212,9,0,1.6,8.0,11.509775004326936,-0.7049210813639868,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6912799225841275,-1.0332398172881878,-1.285283182496449,-0.6581386529052669,2.0689789921492725,-0.4953276501416772
2013-10-14,0.0,1,1,0.3333333333333333,3213,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6901394775924998,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-15,0.0,1,1,0.3333333333333333,3214,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.688999032600872,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-16,0.0,1,1,0.3333333333333333,3215,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.687858587609244,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-17,14.754887502163468,1,1,0.3333333333333333,3216,6,0,2.0,3.0,6.584962500721156,-0.7479868977630553,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.686718142617616,-1.0455582863597637,-1.285283182496449,-0.4317615354546166,0.0602606104227009,-0.6469172146453593
2013-10-18,4.0,1,1,0.3333333333333333,3217,5,0,1.0,2.0,0.0,-0.8799520550708042,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6855776976259882,-1.0496644427169557,-1.285283182496449,-0.9977043290812424,-0.3414830659226134,-0.8496074890520584
2013-10-19,9.509775004326936,1,1,0.3333333333333333,3218,7,0,2.0,4.0,6.339850002884624,-0.8123457388699101,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6844372526343605,-1.0414521300025716,-1.285283182496449,-0.4317615354546166,0.4620042867680152,-0.6544619682322715
2013-10-20,0.0,1,1,0.3333333333333333,3219,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6832968076427326,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-21,8.0,1,1,0.3333333333333333,3220,5,0,3.0,1.5,4.0,-0.8308710554671532,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.682156362651105,-1.0496644427169557,-1.285283182496449,0.134181258172009,-0.5423549040952705,-0.7264843736906565
2013-10-22,0.0,1,1,0.3333333333333333,3221,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6810159176594768,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-23,0.0,1,1,0.3333333333333333,3222,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6798754726678489,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-24,0.0,1,1,0.3333333333333333,3223,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.678735027676221,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-25,0.0,1,1,0.3333333333333333,3224,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6775945826845933,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-26,0.0,1,1,0.3333333333333333,3225,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6764541376929654,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-27,0.0,1,1,0.3333333333333333,3226,5,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6753136927013377,-1.0496644427169557,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-28,4.0,1,1,0.3333333333333333,3227,5,0,1.0,2.0,0.0,-0.8799520550708042,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6741732477097095,-1.0496644427169557,-1.285283182496449,-0.9977043290812424,-0.3414830659226134,-0.8496074890520584
2013-10-29,2.0,1,1,0.3333333333333333,3228,7,0,1.0,1.0,1.0,-0.9044925548726296,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6730328027180816,-1.0414521300025716,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8188267102117079
2013-10-30,0.0,1,1,0.3333333333333333,3229,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.671892357726454,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-10-31,0.0,1,1,0.3333333333333333,3230,6,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.670751912734826,-1.0455582863597637,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
2013-11-01,2.0,1,1,0.3333333333333333,3231,6,0,1.0,1.0,0.0,-0.9044925548726296,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.669611467743198,-1.0455582863597637,-1.285283182496449,-0.9977043290812424,-0.7432267422679277,-0.8496074890520584
2013-11-02,0.0,1,1,0.3333333333333333,3232,7,0,0.0,0.0,0.0,-0.9290330546744552,-1.4430455246599985,-1.6151486807410147,4.166987067074795,-1.6684710227515702,-1.0414521300025716,-1.285283182496449,-1.563647122707868,-1.144970418613242,-0.8496074890520584
