timelst,entropy_for_whole_project,NumEliteUser,NumPeripheralUser,RatioEliteUser,ProjectAge,NumOpenIssue,NumOpenPull,IssueAvgEvent,UserAvgEvent,entropy_for_peripheral_developer,entropy_for_whole_project_standard,NumEliteUser_standard,NumPeripheralUser_standard,RatioEliteUser_standard,projectAge_standard,NumOpenIssue_standard,NumOpenPull_standard,IssueAvgEvent_standard,UserAvgEvent_standard,entropy_for_peripheral_developer_standard
2015-11-09,662.2619464743708,0,0,0.0,3969,0,0,5.5777777777777775,3.3972602739726026,334.58162963993146,-0.8463273466902365,-2.3812634864252225,-2.374279133815713,-9.229382652914415,-1.7308938359109496,-1.235987241714475,-1.5380863191755647,1.5314067081817928,-0.6602247063069753,-0.0002855846864065
2015-11-10,670.9084011494085,6,40,0.1276595744680851,3970,30,1,4.48051948051948,2.912280701754386,360.20660134434684,-0.8387382652973947,-2.3156867408046264,-2.338962423237186,6.2110547410544985,-1.7293511497826866,-1.2226624698406023,-1.5379131368662735,0.5201659592999287,-1.023720212803895,0.1348700084806615
2015-11-11,897.631992566634,9,86,0.09375,3971,58,5,4.506024096385542,3.6176470588235294,493.2361199199924,-0.6397406583464011,-2.282898367994328,-2.2983482060718803,2.109688558281507,-1.7278084636544238,-1.2102260160916545,-1.5372204076291098,0.543671187661186,-0.4950433036796289,0.8365169682984879
2015-11-12,567.1249293350978,9,107,0.0769230769230769,3972,71,6,4.166666666666667,4.454545454545454,255.56512360672448,-0.9298300762687016,-2.282898367994328,-2.2798069330181536,0.074470648579672,-1.726265777526161,-1.204451948279643,-1.5370472253198189,0.2309170601918208,0.1322177680558254,-0.417047908020685
2015-11-13,469.2072581768086,9,118,0.0703125,3973,78,6,3.5806451612903225,4.111111111111111,159.78491351018604,-1.0157734142200492,-2.282898367994328,-2.270094837609059,-0.7250792445174734,-1.724723091397898,-1.201342834842406,-1.5370472253198189,-0.3091643658847873,-0.1251886213393416,-0.9222282164552692
2015-11-14,118.09284782231803,11,120,0.0833333333333333,3974,82,7,2.111111111111111,2.28,36.19578661098468,-1.3239501107419986,-2.261039452787463,-2.268329002080132,0.8497917570375118,-1.7231804052696351,-1.1995661985925563,-1.536874043010528,-1.6634969939668007,-1.497618923385103,-1.574083053515769
2015-11-15,279.1347686541929,11,124,0.0808823529411764,3975,85,9,2.7209302325581395,4.178571428571429,81.4026662048227,-1.1826019754905577,-2.261039452787463,-2.2647973310222795,0.553345450862451,-1.7216377191413723,-1.198233721405169,-1.536527678391946,-1.1014835222113832,-0.0746266519938618,-1.3356452243069816
2015-11-16,188.31995583803467,11,130,0.0774647887323943,3976,85,9,2.9285714285714284,3.25,74.06110733026794,-1.2623110622827705,-2.261039452787463,-2.2594998244355007,0.139990742252161,-1.7200950330131093,-1.198233721405169,-1.536527678391946,-0.9101199762898202,-0.7705972888669294,-1.3743673253850652
2015-11-17,283.86484680337475,12,130,0.0839160839160839,3977,86,9,2.441860465116279,4.038461538461538,64.7667102067814,-1.1784503376901214,-2.2501099951840304,-2.2594998244355007,0.9202754941700454,-1.7185523468848465,-1.1977895623427066,-1.536527678391946,-1.3586761279299642,-0.1796399729421652,-1.4233894187885348
2015-11-18,290.0354742123924,11,135,0.0748299319727891,3978,87,13,3.1219512195121952,3.555555555555556,140.0151076417182,-1.1730343151222669,-2.261039452787463,-2.2550852356131847,-0.1786954276514585,-1.7170096607565837,-1.1973454032802442,-1.5358349491547818,-0.7318998387905769,-0.5415813100668173,-1.0265014960425456
2015-11-19,213.025743321698,13,142,0.0833333333333333,3979,94,13,3.033333333333333,3.0,90.45212068261084,-1.240626540807273,-2.239180537580597,-2.2489048112619425,0.8497917570375118,-1.7154669746283209,-1.1942362898430072,-1.5358349491547818,-0.8135706885875276,-0.9579739987942936,-1.2879150491523654
2015-11-20,110.95170940055102,13,147,0.0807453416149068,3980,99,14,2.2916666666666665,2.208333333333333,53.17475996577053,-1.3302179607171796,-2.239180537580597,-2.2444902224396266,0.5367739182191293,-1.7139242885000578,-1.192015494530695,-1.5356617668454908,-1.497095759479895,-1.5513335802309474,-1.4845296584289556
2015-11-21,52.52932501298081,13,152,0.0783132530120482,3981,105,14,2.090909090909091,1.5714285714285714,31.101254174599383,-1.3814958829343833,-2.239180537580597,-2.2400756336173107,0.2426125757151105,-1.712381602371795,-1.1893505401559208,-1.5356617668454908,-1.6821153139093918,-2.028698055522089,-1.600953504780692
2015-11-22,60.6550220320536,13,158,0.0755813953488372,3982,108,14,2.5,1.7647058823529411,41.86545194034628,-1.3743638758437375,-2.239180537580597,-2.234778127030532,-0.087805862492897,-1.710838916243532,-1.1880180629685335,-1.5356617668454908,-1.3050943350719264,-1.883835389023623,-1.5441791383236756
2015-11-23,135.24114424560145,13,163,0.0734463276836158,3983,113,14,2.6666666666666665,3.2,87.38321746982378,-1.3088988761960534,-2.239180537580597,-2.230363538208216,-0.3460424949906824,-1.7092962301152692,-1.1857972676562214,-1.5356617668454908,-1.151493195545552,-0.8080726308524021,-1.3041015815271535
2015-11-24,324.45358491482926,14,161,0.0795454545454545,3984,119,15,2.9056603773584904,6.12,121.77046178569717,-1.142825188569771,-2.228251079977165,-2.232129373737142,0.391647465676059,-1.7077535439870064,-1.1831323132814469,-1.5354885845362,-0.9312349577341468,1.3804873410992125,-1.1227305167508388
2015-11-25,142.05511244831126,15,160,0.0852272727272727,3985,109,16,3.2857142857142856,2.6538461538461537,80.90312165582884,-1.3029181868566535,-2.217321622373732,-2.233012291501605,1.0788639027182372,-1.7062108578587434,-1.187573903906071,-1.5353154022269089,-0.5809746773047315,-1.2174186740783366,-1.3382800073073862
